GEOID10_TRACT,mean_neighbor_score_updated,HSEF,P200_PFS,donut_hole_dac,donut_hole_dac_additional_constraints
36119982000,1.0,0.352905569007264,,True,True
36081018102,0.75,0.095454545454545,0.28,False,False
36029006800,0.75,0.058119658119658,0.62,False,False
36081071702,0.75,0.04287556415216,0.41,False,False
36081077908,1.0,0.137226970560304,0.86,True,True
36081038301,0.75,,,False,False
36081099801,0.75,0.178528554278854,0.4,False,False
36081014800,0.8333333333333334,0.303727200634417,0.64,False,False
36081097300,0.8,0.142338416848221,0.1,False,False
36081028100,1.0,0.09518855656697,0.48,True,False
36081053900,0.8888888888888888,0.172446706967865,0.33,True,False
36081055500,0.8333333333333334,0.231034482758621,0.62,False,False
36081043400,0.8571428571428571,0.144984326018809,0.13,True,False
36029010202,0.7777777777777778,0.056365786361845,0.74,False,False
36081020800,0.8571428571428571,0.283045977011494,0.41,True,False
36081024600,0.8333333333333334,,,False,False
36081121100,1.0,,,True,True
36081122701,1.0,0.082904157769124,0.4,True,False
36029016500,0.8571428571428571,0.158593231585932,0.51,True,True
36081134700,0.8333333333333334,0.084572724981094,0.41,False,False
36065021101,1.0,0.166939443535188,0.97,True,True
36065026500,0.8333333333333334,0.396825396825397,0.99,False,False
36103145602,0.75,0.305166475315729,0.43,False,False
36073040700,1.0,0.18408215661104,0.64,True,True
36005008400,0.75,0.187839305103149,0.38,False,False
36005034200,0.8571428571428571,0.308702791461412,0.55,True,True
36005033400,0.9411764705882353,0.076923076923077,0.55,True,True
36005000400,0.8571428571428571,0.112679671457906,0.31,True,False
36005002400,0.875,0.0,0.0,True,True
36005016300,1.0,,,True,True
36005022800,1.0,0.200046414481318,0.58,True,True
36005006100,1.0,0.121231558691469,0.46,True,False
36005004001,1.0,0.334293948126801,0.51,True,True
36005028100,1.0,0.144574398960364,0.39,True,False
36005039700,0.75,0.218325791855204,0.74,False,False
36005038800,0.8333333333333334,0.235139400315623,0.56,False,False
36005017100,1.0,,,True,True
36005002800,0.8571428571428571,0.093900278410529,0.44,True,False
36005024900,1.0,,,True,True
36005026100,1.0,0.09310761789601,0.08,True,False
36011041400,0.75,0.089868825006977,0.71,False,False
41057960600,0.75,0.068418171866448,0.57,False,False
41039004100,0.8,0.042241126430038,0.65,False,False
41051008201,0.8571428571428571,0.106179286335944,0.45,True,False
41033361000,0.8,0.084605757196496,0.51,False,False
16027021500,1.0,0.156746031746032,0.91,True,True
16017950200,0.8,0.077767749699158,0.39,False,False
16017950600,0.6,0.076742823667252,0.43,False,False
16021970100,1.0,0.086161879895561,0.57,True,True
16003950100,0.75,0.034090909090909,0.37,False,False
16005000800,0.75,0.129431162407255,0.96,False,False
56023978400,1.0,0.037928221859706,0.28,True,True
01091973400,0.8,0.082017712745475,0.51,False,False
01127021700,0.8,0.166906474820144,0.64,False,False
01073012304,0.8,0.086549707602339,0.21,False,False
01073005103,1.0,0.186157517899761,0.61,True,True
01073012401,0.75,0.093639575971731,0.32,False,False
01073003001,1.0,0.187790311877903,0.87,True,True
01073001100,0.8571428571428571,0.082191780821918,0.63,True,True
01073012403,0.8,0.151194852941176,0.61,False,False
01019956100,0.6666666666666666,0.14652489626556,0.56,False,False
01019956000,0.75,0.203486529318542,0.61,False,False
01073002305,0.8,0.059944422389837,0.35,False,False
01067030500,1.0,0.168238993710692,0.42,True,False
01089000503,0.875,0.089018302828619,0.6,True,True
01003010100,0.7777777777777778,0.221187427240978,0.57,False,False
01089000202,0.75,0.220670391061453,0.94,False,False
01073005302,0.75,0.076476613178559,0.21,False,False
01047956201,0.8,0.213598074608905,0.65,False,False
