,GEOID10_TRACT,state,Life expectancy (years),Unemployed civilians (percent),Percent of individuals < 200% Federal Poverty Line,Median value ($) of owner-occupied housing units,Percent individuals age 25 or over with less than high school degree,Percent enrollment in college or graduate school,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Non-Hispanic White,Linguistic isolation (percent),Current lack of health insurance among adults aged 18-64 years,Median household income in the past 12 months,Percent Hispanic or Latino,hbrd_rank,current_methodology_percent,current_summed_methodology,Urban Heuristic Flag,state_name
2514,25005651800,25,69.6,6.32911392405063,78.18844351900051,212900,23.70266479663394,13.607775871926812,4.32066631962519,0.0,59.656428943258724,4.21422300263388,16.0,13843,15.14836022904737,93.03977272727272,54.0,620,1,MA
2515,25005652000,25,74.2,5.23672883787661,42.86288701246482,205800,20.68394925537782,6.60813308687615,7.593955831073219,0.30995738086013,60.4804339403332,13.718411552346572,13.4,45577,20.767144517628818,95.88068181818184,36.0,410,1,MA
2516,25005652500,25,76.7,6.760772659732541,46.94921446839605,230500,35.116279069767444,7.41258741258741,8.95522388059701,0.0,43.90243902439024,23.88211382113821,18.7,36711,28.28540225700764,92.89772727272728,43.0,410,1,MA
2517,25005652700,25,73.3,8.81953867028493,54.322429906542055,226600,30.45434098065677,4.66766243465272,11.88607962801511,0.0,50.53763440860215,14.34108527131783,19.8,26316,25.37053182214472,91.97443181818184,44.0,645,1,MA
2518,25009203301,25,90.2,8.16418583671628,15.97603594608088,611700,2.61044176706827,5.14005197805371,0.19970044932601,0.0,90.18971542685972,1.09383995394358,5.2,90352,5.26709935097354,92.25852272727272,36.0,634,1,MA
2519,25009204200,25,76.5,6.75720437230871,38.13751806731364,379100,9.569923098832241,16.42905634758995,6.295001028594931,2.75663443735856,70.19131865871219,2.1739130434782603,9.9,55423,17.40382637317424,95.0284090909091,46.0,1045,1,MA
2520,25009204300,25,83.1,6.1558329746018,57.01674966047986,361800,22.49229715850736,6.40512409927942,14.462716828114441,0.6082451002478,39.78373507546744,13.539967373572589,17.9,36845,44.559585492227974,96.69744318181816,50.0,910,1,MA
2521,25009205500,25,81.7,6.0668592653735,47.6890756302521,327700,30.66008636644047,6.639839034205231,10.298876832286311,0.0,26.46106986483914,15.26670754138565,20.1,60550,53.13154387968779,90.05681818181817,40.0,615,1,MA
2522,25009206100,25,75.6,8.1772498857926,60.33115671641791,344500,36.66924265842349,8.43694493783303,11.94029850746268,0.18656716417910002,13.64272388059701,26.160337552742618,25.0,31000,63.969216417910445,98.01136363636364,65.0,859,1,MA
2523,25009206200,25,81.4,3.9520570132815,43.83050847457627,283200,41.1037654498419,9.968708091193559,13.1592249368155,0.23588879528222,14.928390901432179,18.65715983363042,23.3,60453,63.53833192923336,92.82670454545456,51.0,824,1,MA
2524,25009206600,25,79.8,6.15194054500412,29.276388581544587,318400,21.34536983110075,7.671745522587541,15.64505421553441,1.06218189865014,49.34720070812126,11.467391304347819,14.6,48750,26.93073688869218,96.3778409090909,48.0,870,1,MA
2525,25009207000,25,76.0,2.60707635009311,56.005110732538334,182600,42.997888810696686,3.3123028391167098,32.31681490893689,0.0,21.17746717492588,30.9,22.9,26346,38.03473104616688,93.75,56.00000000000001,559,1,MA
2526,25009250200,25,79.1,19.258295380611578,43.43928280358598,305200,27.99776910206358,13.24041811846689,3.28425821064552,0.0,16.64779161947905,15.4015401540154,23.3,44659,82.75359974114221,96.44886363636364,56.99999999999999,1009,1,MA
2527,25009250400,25,76.6,5.66700100300902,65.25686977299881,190400,50.49038838760298,8.99937067337948,3.05343511450381,0.0,2.76717557251908,41.04,33.7,35938,96.875,97.08806818181816,60.0,749,1,MA
2528,25009250600,25,80.4,6.42557313529221,44.04086265607264,278200,29.20127795527156,5.49607423269093,2.54968128983877,1.19985001874765,12.110986126734149,34.73305338932214,25.8,51843,85.56430446194226,91.19318181818184,44.0,690,1,MA
2529,25009250700,25,82.6,9.41006152732537,44.38312968072526,327100,42.60619610348131,5.26455026455026,3.44895545920378,0.0,6.46432794639337,43.05929919137466,29.6,51250,89.4560504532913,98.1534090909091,52.0,705,1,MA
2530,25009250800,25,81.4,10.06231248557581,47.11205749268033,291600,27.015971951694578,5.4846551200243,9.94920084252261,0.7310122661380201,21.137405525957128,17.16287215411558,22.7,51520,72.13480361789122,95.09943181818184,48.0,1065,1,MA
2531,25009250900,25,76.6,11.98668146503884,71.08490566037736,209500,42.35668789808917,8.46944948578342,2.87735849056603,1.0377358490566,2.5,40.02677376171352,32.7,21911,95.80188679245283,97.01704545454544,55.00000000000001,393,1,MA
2532,25009251000,25,76.6,1.76991150442477,46.684636118598384,229200,42.771599657827196,6.908583391486391,8.061932728243459,0.64068339562199,4.69834490122797,34.23597678916827,27.8,52434,93.27282434596904,95.8096590909091,59.0,300,1,MA
2533,25009251100,25,76.6,2.74122807017543,62.4852536374361,247400,35.03093764873869,4.825506247307191,8.402452217814641,0.0,22.79120086548864,36.16144975288303,29.2,20513,77.06455102776776,91.40625,50.0,584,1,MA
2534,25009251200,25,77.7,13.464447806354011,56.12040133779265,169600,45.70446735395189,6.78260869565217,1.53846153846153,1.53846153846153,3.07692307692307,46.15384615384615,30.2,24773,96.8561872909699,97.90482954545456,59.0,310,1,MA
2535,25009251400,25,79.4,12.560566530003719,48.64103080330179,286200,29.90043559427505,5.74047274481427,5.45954438334642,0.78554595443833,11.37077769049489,23.831468071099398,25.1,51862,80.16496465043204,90.3409090909091,43.0,635,1,MA
2536,25009251600,25,78.9,7.96605529701615,43.04453441295546,272300,30.88386433710174,8.06153846153846,3.6642453591606103,0.0,16.94915254237288,22.68292682926829,24.5,50625,78.30508474576271,95.38352272727272,44.0,828,1,MA
2537,25009252400,25,77.7,4.71774193548387,49.663555459084,312000,24.41690962099125,7.848173515981729,6.85912741480355,0.0,22.29216409811157,20.51965356429047,21.1,46844,69.54634252224875,95.52556818181816,47.0,635,1,MA
2538,25009252501,25,80.2,10.51202482544608,35.8271375464684,331600,14.89744512414537,8.97867564534231,7.87037037037037,0.0,46.157407407407405,3.8489469862018804,13.9,67168,42.01388888888889,91.61931818181816,39.0,540,1,MA
2539,25009260100,25,76.9,10.93066833229231,50.69331892670629,217900,14.64530892448512,5.63410920165325,8.53114402998393,0.0,41.97751204711761,12.93103448275862,16.2,35051,48.31340353382117,98.08238636363636,48.0,1120,1,MA
2540,25009260800,25,82.3,5.88712951684937,54.9990140011832,255000,17.78846153846154,7.148594377510039,1.68198709172697,0.0,44.025034226481516,5.83742498636115,17.5,45271,47.4672403676902,97.58522727272728,49.0,890,1,MA
2541,25013800201,25,77.7,13.180347160929681,49.0205081114172,138300,22.77227722772277,5.71731074642668,9.05896730827986,0.0,38.63428047662695,4.49855550969872,17.3,40074,47.64741827069966,95.24147727272728,48.0,1215,1,MA
2542,25013800400,25,74.9,6.4673157162726,48.39537869062901,149200,18.704676169042262,6.969888397557381,8.418407413224429,2.16742578922569,34.42751688393278,19.004524886877817,19.8,47734,57.81372702999843,92.04545454545456,51.0,1115,1,MA
2543,25013800600,25,76.6,21.871476888387818,86.55070004242681,165900,68.20908311910883,4.288266825491361,10.06739679865206,0.50547598989048,1.22156697556866,44.33374844333748,41.0,14307,96.04043807919123,94.60227272727272,64.0,479,1,MA
2544,25013800800,25,76.4,32.4031007751938,83.65520489872821,178600,49.95808885163453,6.95224719101123,12.19971738106453,0.28261893546867,8.76118699952896,29.036004645760737,36.7,14068,82.10080075365049,90.48295454545456,62.0,529,1,MA
2545,25013800900,25,75.5,14.45692883895131,82.07058823529411,147200,42.47464503042596,5.03184713375796,12.30588235294117,0.0,7.12941176470588,27.73109243697479,32.9,18750,82.47058823529412,93.60795454545456,50.0,905,1,MA
2546,25013801101,25,70.3,3.64583333333333,78.24561403508771,105900,27.73044151820294,6.71428571428571,15.02923976608187,0.46783625730993994,11.754385964912279,32.15940685820204,24.1,17346,70.7017543859649,95.3125,55.00000000000001,595,1,MA
2547,25013801200,25,75.7,23.26024785510009,84.87574978577548,147200,26.95810564663023,4.29887410440122,26.78142514011209,0.0,10.92874299439551,19.88636363636363,27.3,13288,64.85188150520416,97.30113636363636,52.0,620,1,MA
2548,25013801700,25,75.6,6.814476687316589,52.459016393442624,155100,20.76783555018138,45.447589900535576,39.53367200729452,0.59919239286179,31.31431548782076,8.7575259989053,15.0,31995,28.956623681125436,96.875,57.99999999999999,1065,1,MA
2549,25013801800,25,76.2,7.67295597484276,76.40826873385012,105100,33.50987000481463,15.26004360012457,26.6224538133586,0.0,13.99810516342965,14.97659906396256,24.9,29057,61.48744670772146,99.57386363636364,56.99999999999999,690,1,MA
2550,25013801901,25,75.6,8.25396825396825,81.31147540983606,137200,33.72278279341476,10.35455278001611,37.37864077669903,0.32362459546925,9.762675296655871,15.32447224394058,28.9,21596,47.03344120819849,97.90482954545456,59.0,785,1,MA
2551,25013802000,25,76.3,18.92816419612314,80.22274721565981,118600,41.71813587871982,8.26702033598585,12.14984812689841,0.0,7.66115423557205,28.521434820647418,31.9,18241,77.8265271684104,94.2471590909091,56.99999999999999,685,1,MA
2552,25013802200,25,74.5,18.72246696035242,68.89433170048986,162500,31.79190751445087,2.87640449438202,14.16695531693799,1.45479736750952,20.1246969172151,14.821591948764858,25.7,31108,57.04883962590925,95.45454545454544,57.99999999999999,645,1,MA
2553,25013802300,25,75.8,4.5509708737864,57.35294117647059,156600,26.177354709418836,11.19388729703916,25.6260920209668,0.37856726849155004,13.08969132207338,19.79121357111787,21.8,32461,55.052417006406515,94.06960227272728,50.0,1145,1,MA
2554,25013811400,25,79.8,8.75179340028694,82.01284796573876,186400,33.931240657698055,8.53808353808353,4.28265524625267,0.0,3.42612419700214,34.62819089900111,34.2,17741,93.10492505353321,94.06960227272728,54.0,493,1,MA
2555,25013811600,25,76.9,10.09796533534287,75.2606153063819,159300,40.28197381671702,10.38344078724126,6.85728744939271,0.0,7.94534412955465,32.610441767068274,33.6,22807,89.01821862348179,98.29545454545456,53.0,633,1,MA
2556,25013811700,25,78.5,12.564543889845089,70.28985507246377,112200,38.24378971692663,10.8695652173913,0.2255299954894,0.0,18.22282363554352,37.31490621915103,28.3,18687,78.9806044203879,98.65056818181816,50.0,464,1,MA
2557,25013811800,25,76.8,5.3861788617886095,52.06794682422452,132400,19.34501142421934,3.38393421884882,2.91309669522643,0.0,33.46389228886169,11.35458167330677,20.3,41694,64.0391676866585,91.47727272727272,42.0,625,1,MA
